Information about Convolutionnal Autoencoder with batch size 4
size1 = (20, 12)
size2 = (10, 6)
size3 = (3, 2)
num epoch = 50
epoch 0, loss 0.006936725694686174
epoch 1, loss 0.005734252277761698
epoch 2, loss 0.003494089003652334
epoch 3, loss 0.004966768901795149
epoch 4, loss 0.004103448707610369
epoch 5, loss 0.003916478715837002
epoch 6, loss 0.003079724498093128
epoch 7, loss 0.004898478742688894
epoch 8, loss 0.0051177204586565495
epoch 9, loss 0.00479968311265111
epoch 10, loss 0.004438737872987986
epoch 11, loss 0.0051213703118264675
epoch 12, loss 0.0038328818045556545
epoch 13, loss 0.010625982657074928
epoch 14, loss 0.003620920702815056
epoch 15, loss 0.005227605812251568
epoch 16, loss 0.003204307286068797
epoch 17, loss 0.003885369747877121
epoch 18, loss 0.006348711438477039
epoch 19, loss 0.0029395194724202156
epoch 20, loss 0.007774959318339825
epoch 21, loss 0.0034770332276821136
epoch 22, loss 0.008855441585183144
epoch 23, loss 0.005403486546128988
epoch 24, loss 0.009288408793509007
epoch 25, loss 0.00676439655944705
epoch 26, loss 0.003841548692435026
epoch 27, loss 0.004130233079195023
epoch 28, loss 0.006487947888672352
epoch 29, loss 0.004616539925336838
epoch 30, loss 0.0033243531361222267
epoch 31, loss 0.004837349522858858
epoch 32, loss 0.004254824481904507
epoch 33, loss 0.005357822868973017
epoch 34, loss 0.004964888095855713
epoch 35, loss 0.0043096160516142845
epoch 36, loss 0.005087252706289291
epoch 37, loss 0.00332403602078557
epoch 38, loss 0.003935149870812893
epoch 39, loss 0.00582248205319047
epoch 40, loss 0.005784652661532164
epoch 41, loss 0.006287741474807262
epoch 42, loss 0.0058504496701061726
epoch 43, loss 0.003644798416644335
epoch 44, loss 0.006237449124455452
epoch 45, loss 0.007467036135494709
epoch 46, loss 0.003985202871263027
epoch 47, loss 0.0033893485087901354
epoch 48, loss 0.006043731234967709
epoch 49, loss 0.004511423874646425
