Information about Convolutionnal Autoencoder with batch size 4

size1 = (40, 25)
size2 = (20, 12)
size3 = (10, 6)
size4 = (5, 3)
num_epoch = 100
lr = 0.0001
weight_decay = 0
epoch 0, loss 0.014097683131694794
epoch 1, loss 0.009452646598219872
epoch 2, loss 0.012232181616127491
epoch 3, loss 0.005888407584279776
epoch 4, loss 0.005701983813196421
epoch 5, loss 0.004040850792080164
epoch 6, loss 0.006230343598872423
epoch 7, loss 0.005542968865483999
epoch 8, loss 0.004480574280023575
epoch 9, loss 0.0037685930728912354
epoch 10, loss 0.003697969950735569
epoch 11, loss 0.002696135314181447
epoch 12, loss 0.0040101842023432255
epoch 13, loss 0.003991091623902321
epoch 14, loss 0.007371756248176098
epoch 15, loss 0.004345263820141554
epoch 16, loss 0.0044530099257826805
epoch 17, loss 0.002275555394589901
epoch 18, loss 0.003928766120225191
epoch 19, loss 0.0038473238237202168
epoch 20, loss 0.004091151989996433
epoch 21, loss 0.0024497925769537687
epoch 22, loss 0.003079894231632352
epoch 23, loss 0.0034589851275086403
epoch 24, loss 0.0022743786685168743
epoch 25, loss 0.002401891862973571
epoch 26, loss 0.0026923592668026686
epoch 27, loss 0.0022482601925730705
epoch 28, loss 0.003597404109314084
epoch 29, loss 0.003992503974586725
epoch 30, loss 0.0019800388254225254
epoch 31, loss 0.002826167270541191
epoch 32, loss 0.0032979135867208242
epoch 33, loss 0.0031102565117180347
epoch 34, loss 0.0026446240954101086
epoch 35, loss 0.0020435310434550047
epoch 36, loss 0.00200164713896811
epoch 37, loss 0.002287496579810977
epoch 38, loss 0.0019978273194283247
epoch 39, loss 0.002055109478533268
epoch 40, loss 0.0032144554425030947
epoch 41, loss 0.003369831247255206
epoch 42, loss 0.0029505514539778233
epoch 43, loss 0.0025755073875188828
epoch 44, loss 0.0036163046024739742
epoch 45, loss 0.002925455803051591
epoch 46, loss 0.0025772012304514647
epoch 47, loss 0.0025919638574123383
epoch 48, loss 0.0020391996949911118
epoch 49, loss 0.0017976048402488232
epoch 50, loss 0.001692854450084269
epoch 51, loss 0.0019200218375772238
epoch 52, loss 0.0019281250424683094
epoch 53, loss 0.0023074643686413765
epoch 54, loss 0.0034637951757758856
epoch 55, loss 0.002163691446185112
epoch 56, loss 0.0021073988173156977
epoch 57, loss 0.0026004347018897533
epoch 58, loss 0.0023864349350333214
epoch 59, loss 0.0029559233225882053
epoch 60, loss 0.0024951507803052664
epoch 61, loss 0.0019661951810121536
epoch 62, loss 0.002396115567535162
epoch 63, loss 0.0028324422892183065
epoch 64, loss 0.0019051023991778493
epoch 65, loss 0.0017754490254446864
epoch 66, loss 0.0015286585548892617
epoch 67, loss 0.0029917520005255938
epoch 68, loss 0.002204256597906351
epoch 69, loss 0.0017067136941477656
epoch 70, loss 0.0016547832638025284
epoch 71, loss 0.0019634277559816837
epoch 72, loss 0.002341317478567362
epoch 73, loss 0.003222949104383588
epoch 74, loss 0.002852131612598896
epoch 75, loss 0.0017097415402531624
epoch 76, loss 0.0019616014324128628
epoch 77, loss 0.0020377852488309145
epoch 78, loss 0.002066152635961771
epoch 79, loss 0.0023993211798369884
epoch 80, loss 0.002306195441633463
epoch 81, loss 0.0025190014857798815
epoch 82, loss 0.002402995713055134
epoch 83, loss 0.002464570803567767
epoch 84, loss 0.0036060758866369724
epoch 85, loss 0.001537164207547903
epoch 86, loss 0.0024771669413894415
epoch 87, loss 0.0021559884771704674
epoch 88, loss 0.0016737071564421058
epoch 89, loss 0.0015591460978612304
epoch 90, loss 0.002108358545228839
epoch 91, loss 0.0015016708057373762
epoch 92, loss 0.0012048757635056973
epoch 93, loss 0.0027975349221378565
epoch 94, loss 0.002353515475988388
epoch 95, loss 0.0029180787969380617
epoch 96, loss 0.0016004381468519568
epoch 97, loss 0.0024963964242488146
epoch 98, loss 0.00375558459199965
epoch 99, loss 0.001814914052374661
